title,author,length
Wrath of Iron,Chris Wraight,Length: 12 hrs and 29 mins
Baskets and Beignets,Jana DeLeon,Length: 9 hrs and 39 mins
Mark of the Fool 6,J.M. Clarke,Length: 23 hrs and 3 mins
Prince of Poison,Alice Winters,Length: 9 hrs and 49 mins
Task Force Hammer,Craig Alanson,Length: 21 hrs and 40 mins
Dark Witch: Twin Destinies,I. T. Lucas,Length: 8 hrs and 41 mins
A Witch Worth Praline For,H.Y. Hanna,Length: 8 hrs and 17 mins
Don't Look Back,Rachel Grant,Length: 12 hrs and 44 mins
Secrets of a Billionaire,Eva Winners,Length: 10 hrs and 58 mins
Kulti,Mariana Zapata,Length: 17 hrs and 18 mins
Practical Adept,Terry Mancour,Length: 32 hrs and 57 mins
The Empress of Beasts,pirateaba,Length: 30 hrs and 29 mins
Drumindor,Michael J. Sullivan,Length: 12 hrs and 45 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs
From The Wizarding Archive,"J.K. Rowling,Evanna Lynch - foreword",Length: Not Yet Known
The Shadow Rising,Robert Jordan,Length: 40 hrs and 31 mins
Never Never,"Colleen Hoover,Tarryn Fisher",Length: 9 hrs and 48 mins
USS Washington: The Black Ship,Mark Wayne McGinnis,Length: 11 hrs and 36 mins
Reign of a Billionaire,Eva Winners,Length: 12 hrs and 5 mins
Back in the Saddle,Kristen Ashley,Length: Not Yet Known
